0,﻿mua
1,cho
2,tôi
3,1000
4,cổ
5,phiếu
6,mua
7,SSI
8,với
9,giá
10,mã
11,chứng
12,khoán
13,thêm
14,khối
15,lượng
16,bán
17,ssi
18,muốn
19,lương
20,và
21,hết
22,con
23,ra
24,gom
25,vào
26,thoát
27,hàng
28,toàn
29,bộ
30,xả
31,giao
32,dịch
33,đầu
34,tư
35,triệu
36,acb
37,chi
38,cp
39,lấy
40,đặt
41,lệnh
42,số
43,cần
44,thị
45,trường
46,hôm
47,nay
48,thế
49,nào
50,rồi
51,hiện
52,đang
53,tình
54,hình
55,lên
56,xuống
57,biến
58,động
59,sao
60,diễn
61,tổng
62,quan
63,thông
64,tin
65,như
66,tích
67,cực
68,chứ
69,?
70,có
71,tiêu
72,không
73,nhiều
74,thanh
75,khoản
76,cao
77,đột
78,hay
79,thấp
80,sụt
81,giảm
82,tăng
83,ít
84,lắm
85,à
86,ổn
87,nhỉ
88,tốt
89,xem
90,của
91,kết
92,quả
93,tại
94,mở
95,cửa
96,đóng
97,qua
98,lịch
99,sử
100,cập
101,nhật
102,về
103,chung
104,cảnh
105,bao
106,quát
107,trị
108,báo
109,cáo
110,nhận
111,định
112,tức
113,nhanh
114,khớp
115,hiển
116,piếu
117,sáng
118,nhiêu
119,còn
120,những
121,loại
122,tài
123,trong
124,đuôi
125,gì
126,từng
127,cầm
128,nhất
129,giữ
130,đủ
131,nắm
132,liệt
133,kê
134,các
135,mà
136,sở
137,hữu
138,bn
139,kiểm
140,tra
141,dư
142,cố
143,nữa
144,lại
145,là
146,mấy
147,danh
148,mục
149,trạng
150,thái
151,tiền
152,nong
153,nợ
154,dữ
155,liệu
156,thúc
157,chương
158,trình
159,app
160,đi
161,ngay
162,chấm
163,dứt
164,trở
165,sau
166,nhé
167,đây
168,chào
169,tắt
170,tạm
171,biệt
172,dừng
173,bye
174,gặp
175,mai
176,nói
177,chuyện
178,hẹn
179,lúc
180,khác
181,phải
182,khỏi
183,quay
184,nên
185,để
186,tất
187,cả
188,này
189,thời
190,điểm
191,được
192,thì
193,","
194,xin
195,ý
196,kiến
197,bạn
198,nghĩ
199,sẽ
200,nhìn
201,khuyến
202,nghị
203,khuyên
204,hợp
205,lý
206,bây
207,giờ
208,đề
209,xuất
210,lướt
211,sóng
212,giai
213,đoạn
214,theo
215,làm
216,thất
217,thường
218,đã
219,chưa
220,chờ
221,bị
222,hủy
223,lệ
224,thực
225,huỷ
226,thôi
227,bỏ
228,chức
229,năng
230,chính
231,hệ
232,thống
233,ngưng
234,ngừng
235,trang
236,chủ
237,tới
238,đừng
239,MobiFone
240,hơn
241,tỉ
242,đồng
243,phát
244,triển
245,mạng
246,Thủ
247,phạm
248,ai
249,chiếc
250,điện
251,thoại
252,di
253,.
254,Theo
255,phản
256,ảnh
257,người
258,dân
259,gian
260,trước
261,tết
262,nghẽn
263,vẫn
264,xảy
265,FunRing
